search_space_id,param,search_space
1,num_epoch,"[30, 50, 100]"
1,batch_size,"[256, 512, 1024, 2048]"
1,learning_rate,"[1e-05, 0.001]"
1,rmsprop_alpha,"[0.3, 1.0]"
1,momentum,"[0.0, 0.9]"
1,l2_regularization,"[1e-05, 0.01]"
2,num_epoch,"[30, 50, 100]"
2,batch_size,"[256, 512, 1024, 2048]"
2,learning_rate,"[1e-05, 0.001]"
2,rmsprop_alpha,"[0.3, 1.0]"
2,momentum,"[0.0, 0.9]"
2,l2_regularization,"[1e-05, 0.01]"
3,num_epoch,"[30, 50, 100]"
3,batch_size,"[256, 512, 1024, 2048]"
3,learning_rate,"[1e-05, 0.001]"
3,rmsprop_alpha,"[0.3, 1.0]"
3,momentum,"[0.0, 0.9]"
3,l2_regularization,"[1e-05, 0.01]"
4,num_epoch,"[30, 50, 100]"
4,batch_size,"[256, 512, 1024, 2048]"
4,learning_rate,"[1e-05, 0.001]"
4,rmsprop_alpha,"[0.3, 1.0]"
4,momentum,"[0.0, 0.9]"
4,l2_regularization,"[1e-05, 0.01]"
5,num_epoch,"[30, 50, 100]"
5,batch_size,"[256, 512, 1024, 2048]"
5,learning_rate,"[1e-05, 0.001]"
5,rmsprop_alpha,"[0.3, 1.0]"
5,momentum,"[0.0, 0.9]"
5,l2_regularization,"[1e-05, 0.01]"
6,num_epoch,"[30, 50, 100]"
6,batch_size,"[256, 512, 1024, 2048]"
6,learning_rate,"[1e-05, 0.001]"
6,rmsprop_alpha,"[0.3, 1.0]"
6,momentum,"[0.0, 0.9]"
6,l2_regularization,"[1e-05, 0.01]"
7,num_epoch,"[30, 50, 100]"
7,batch_size,"[256, 512, 1024, 2048]"
7,learning_rate,"[1e-05, 0.001]"
7,rmsprop_alpha,"[0.3, 1.0]"
7,momentum,"[0.0, 0.9]"
7,l2_regularization,"[1e-05, 0.01]"
8,num_epoch,"[30, 50, 100]"
8,batch_size,"[256, 512, 1024, 2048]"
8,learning_rate,"[1e-05, 0.001]"
8,rmsprop_alpha,"[0.3, 1.0]"
8,momentum,"[0.0, 0.9]"
8,l2_regularization,"[1e-05, 0.01]"
9,num_epoch,"[30, 50, 100]"
9,batch_size,"[256, 512, 1024, 2048]"
9,learning_rate,"[1e-05, 0.001]"
9,rmsprop_alpha,"[0.3, 1.0]"
9,momentum,"[0.0, 0.9]"
9,l2_regularization,"[1e-05, 0.01]"
10,num_epoch,"[30, 50, 100]"
10,batch_size,"[256, 512, 1024, 2048]"
10,learning_rate,"[1e-05, 0.001]"
10,rmsprop_alpha,"[0.3, 1.0]"
10,momentum,"[0.0, 0.9]"
10,l2_regularization,"[1e-05, 0.01]"
11,num_epoch,"[30, 50, 100]"
11,batch_size,"[256, 512, 1024, 2048]"
11,learning_rate,"[1e-05, 0.001]"
11,rmsprop_alpha,"[0.3, 1.0]"
11,momentum,"[0.0, 0.9]"
11,l2_regularization,"[1e-05, 0.01]"
12,num_epoch,"[30, 50, 100]"
12,batch_size,"[256, 512, 1024, 2048]"
12,learning_rate,"[1e-05, 0.001]"
12,rmsprop_alpha,"[0.3, 1.0]"
12,momentum,"[0.0, 0.9]"
