,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bpreg,params_constrained_embedding,params_dropout_p_embed,params_dropout_p_hidden,params_elu_param,params_embedding,params_layers,params_learning_rate,params_logq,params_loss,params_momentum,params_n_epochs,params_n_sample,params_sample_alpha,state,Recall@1,Recall@5,Recall@10,Recall@20,MRR@1,MRR@5,MRR@10,MRR@20,search_space_id
0,0,0.0573466117137887,2024-10-10 12:23:49.637151,2024-10-10 15:32:17.366146,0 days 03:08:27.728995,256,0.0,False,0.2,0.5,1.0,0,64,0.001,1.0,cross-entropy,0.4,7,512,0.8,COMPLETE,0.057347,0.221749,0.359141,0.522107,0.057347,0.111248,0.129393,0.140604,1.0
1,1,0.1652022925562216,2024-10-10 16:07:07.849502,2024-10-10 20:28:46.098787,0 days 04:21:38.249285,320,1.0,False,0.5,0.7,0.0,0,64,0.1,0.0,cross-entropy,0.4,10,1024,0.7000000000000001,COMPLETE,0.165202,0.392929,0.551301,0.704189,0.165202,0.244575,0.265567,0.27623,2.0
2,2,0.1364130506413582,2024-10-11 20:59:28.637171,2024-10-12 00:07:17.967556,0 days 03:07:49.330385,256,0.0,True,0.0,0.05,0.5,0,64,0.001,0.0,bpr-max,0.4,7,256,0.4,COMPLETE,0.136413,0.371866,0.525892,0.661354,0.136413,0.219931,0.240353,0.24982,3.0
3,3,0.1446896648007876,2024-10-12 00:54:06.215319,2024-10-12 05:24:22.372529,0 days 04:30:16.157210,240,0.5,False,0.3,0.7,0.5,64,64,0.1,1.0,bpr-max,0.0,10,256,0.2,COMPLETE,0.14469,0.372141,0.51774,0.639006,0.14469,0.225788,0.245092,0.253558,4.0
4,4,0.0510108892027162,2024-10-12 13:39:51.191912,2024-10-12 16:44:04.617770,0 days 03:04:13.425858,272,1.0,True,0.5,0.55,0.0,64,64,0.001,1.0,cross-entropy,0.7,7,1024,0.4,COMPLETE,0.051011,0.223126,0.377075,0.576168,0.051011,0.10793,0.128213,0.14206,5.0
5,5,0.0005945689204473,2024-10-12 17:22:39.486298,2024-10-12 22:07:21.958160,0 days 04:44:42.471862,144,1.0,False,0.35,0.15,0.5,64,64,0.1,1.0,bpr-max,0.7,10,256,0.5,COMPLETE,0.000595,0.00296,0.008715,0.020225,0.000595,0.001253,0.002017,0.002743,6.0
6,6,0.1314065655443893,2024-10-12 22:16:26.932267,2024-10-13 01:15:52.559408,0 days 02:59:25.627141,384,1.0,True,0.1,0.65,0.5,0,64,0.01,0.0,cross-entropy,0.7,7,1024,1.0,COMPLETE,0.131407,0.369538,0.532192,0.675675,0.131407,0.216115,0.237612,0.247642,7.0
7,7,0.1597857599279097,2024-10-13 02:24:00.527751,2024-10-13 06:40:40.729993,0 days 04:16:40.202242,496,1.0,True,0.0,0.1,0.0,64,64,0.1,0.0,bpr-max,0.4,10,1024,0.5,COMPLETE,0.159786,0.378816,0.529875,0.6685,0.159786,0.237207,0.257202,0.266904,8.0
8,8,0.1437797498026646,2024-10-13 13:29:15.861663,2024-10-13 16:40:15.515276,0 days 03:10:59.653613,192,0.0,True,0.1,0.45,1.0,0,64,0.05,0.0,bpr-max,0.4,7,512,0.7000000000000001,COMPLETE,0.14378,0.380371,0.542644,0.695798,0.14378,0.22839,0.249884,0.260587,9.0
9,9,0.1722575508544365,2024-10-13 16:58:04.741696,2024-10-13 21:18:43.501714,0 days 04:20:38.760018,336,0.5,False,0.3,0.1,0.0,0,64,0.05,0.0,bpr-max,0.7,10,512,0.0,COMPLETE,0.172258,0.401978,0.551264,0.692913,0.172258,0.252975,0.272786,0.282686,10.0
10,10,0.1653492262549529,2024-10-13 22:09:26.465130,2024-10-14 02:46:22.907626,0 days 04:36:56.442496,432,0.5,False,0.4,0.25,0.0,0,64,0.05,0.0,bpr-max,0.0,10,2048,0.0,COMPLETE,0.165349,0.408249,0.563268,0.717758,0.165349,0.251202,0.271708,0.282491,11.0
11,11,0.1665066342273508,2024-10-14 11:24:43.446217,2024-10-14 15:58:44.923086,0 days 04:34:01.476869,416,0.5,False,0.4,0.25,0.0,0,64,0.05,0.0,bpr-max,0.0,10,2048,0.0,COMPLETE,0.166507,0.407308,0.563044,0.717634,0.166507,0.251356,0.271989,0.282783,12.0
12,12,0.1645257141295057,2024-10-14 16:42:28.398506,2024-10-14 21:04:49.581352,0 days 04:22:21.182846,384,0.5,False,0.4,0.3,0.0,0,64,0.05,0.0,bpr-max,0.0,10,2048,0.0,COMPLETE,0.164526,0.40853,0.564368,0.718721,0.164526,0.250815,0.27144,0.28222,13.0
13,13,0.1725724087802892,2024-10-14 21:22:42.916265,2024-10-15 01:45:59.187956,0 days 04:23:16.271691,512,0.5,False,0.25,0.0,0.0,0,64,0.05,0.0,bpr-max,0.0,10,2048,0.2,COMPLETE,0.172572,0.413753,0.570021,0.725388,0.172572,0.257576,0.278318,0.289179,14.0
14,14,0.1747134426760873,2024-10-15 02:19:47.922220,2024-10-15 06:34:37.889792,0 days 04:14:49.967572,512,0.5,False,0.2,0.0,0.0,0,64,0.05,0.0,bpr-max,0.7,10,512,0.2,COMPLETE,0.174713,0.403447,0.554921,0.6993,0.174713,0.255008,0.275114,0.285231,15.0
15,15,0.1640790552114356,2024-10-15 13:59:51.032160,2024-10-15 18:22:19.219994,0 days 04:22:28.187834,512,0.5,False,0.2,0.0,0.0,0,64,0.01,0.0,bpr-max,0.0,10,2048,0.2,COMPLETE,0.164079,0.413645,0.571466,0.726254,0.164079,0.25273,0.273648,0.284455,16.0
16,16,0.17570976054688625,2024-10-16 12:34:32.341568,2024-10-16 16:55:54.614577,0 days 04:21:22.273009,464,0.5,False,0.15000000000000002,0.15000000000000002,1.0,0,64,0.05,0.0,bpr-max,0.7,10,512,0.2,COMPLETE,0.17571,0.403364,0.554958,0.698416,0.17571,0.255539,0.275643,0.285688,17.0
