gru4rec_model,ex2vec_model,seq_len,batch_size,combination_mode,alpha,k,n_user_histories,recalls,mrrs,baseline_recalls,baseline_mrrs
GRU4Rec_bestparams_SM_DEL,ex2vec_baseline_finaltrain_DEL__BS512LR0.0003208416119525183L_DIM64N_EP30_Epoch29_f10.2947,50,50,direct,0.1,20,5,"Recall@5=0.000748,Recall@10=0.001497,Recall@20=0.002445","MRR@5=0.000336,MRR@10=0.000428,MRR@20=0.000491","Recall@5=0.589292,Recall@10=0.748266,Recall@20=0.891223","MRR@5=0.360931,MRR@10=0.382354,MRR@20=0.392809"
GRU4Rec_bestparams_SM_DEL,ex2vec_baseline_finaltrain_DEL__BS512LR0.0003208416119525183L_DIM64N_EP30_Epoch29_f10.2947,50,50,direct,0.3,20,5,"Recall@5=0.000748,Recall@10=0.001497,Recall@20=0.002445","MRR@5=0.000336,MRR@10=0.000428,MRR@20=0.000491","Recall@5=0.589292,Recall@10=0.748266,Recall@20=0.891223","MRR@5=0.360931,MRR@10=0.382354,MRR@20=0.392809"
GRU4Rec_bestparams_SM_DEL,ex2vec_baseline_finaltrain_DEL__BS512LR0.0003208416119525183L_DIM64N_EP30_Epoch29_f10.2947,50,50,direct,0.9,20,5,"Recall@5=0.000748,Recall@10=0.001497,Recall@20=0.002445","MRR@5=0.000336,MRR@10=0.000428,MRR@20=0.000491","Recall@5=0.589292,Recall@10=0.748266,Recall@20=0.891223","MRR@5=0.360931,MRR@10=0.382354,MRR@20=0.392809"
GRU4Rec_bestparams_SM_DEL,ex2vec_baseline_finaltrain_DEL__BS512LR0.0003208416119525183L_DIM64N_EP30_Epoch29_f10.2947,50,50,weighted,0.1,20,5,"Recall@5=0.002096,Recall@10=0.002295,Recall@20=0.002445","MRR@5=0.001355,MRR@10=0.001383,MRR@20=0.001391","Recall@5=0.589292,Recall@10=0.748266,Recall@20=0.891223","MRR@5=0.360931,MRR@10=0.382354,MRR@20=0.392809"
GRU4Rec_bestparams_SM_DEL,ex2vec_baseline_finaltrain_DEL__BS512LR0.0003208416119525183L_DIM64N_EP30_Epoch29_f10.2947,50,50,weighted,0.3,20,5,"Recall@5=0.002096,Recall@10=0.002295,Recall@20=0.002445","MRR@5=0.001399,MRR@10=0.001428,MRR@20=0.001436","Recall@5=0.589292,Recall@10=0.748266,Recall@20=0.891223","MRR@5=0.360931,MRR@10=0.382354,MRR@20=0.392809"
GRU4Rec_bestparams_SM_DEL,ex2vec_baseline_finaltrain_DEL__BS512LR0.0003208416119525183L_DIM64N_EP30_Epoch29_f10.2947,50,50,weighted,0.9,20,5,"Recall@5=0.002146,Recall@10=0.002295,Recall@20=0.002445","MRR@5=0.001409,MRR@10=0.001430,MRR@20=0.001438","Recall@5=0.589292,Recall@10=0.748266,Recall@20=0.891223","MRR@5=0.360931,MRR@10=0.382354,MRR@20=0.392809"
GRU4Rec_bestparams_SM_DEL,ex2vec_baseline_finaltrain_DEL__BS512LR0.0003208416119525183L_DIM64N_EP30_Epoch29_f10.2947,50,50,boosted,0.1,20,5,"Recall@5=0.002146,Recall@10=0.002295,Recall@20=0.002445","MRR@5=0.001409,MRR@10=0.001430,MRR@20=0.001438","Recall@5=0.589292,Recall@10=0.748266,Recall@20=0.891223","MRR@5=0.360931,MRR@10=0.382354,MRR@20=0.392809"
GRU4Rec_bestparams_SM_DEL,ex2vec_baseline_finaltrain_DEL__BS512LR0.0003208416119525183L_DIM64N_EP30_Epoch29_f10.2947,50,50,boosted,0.3,20,5,"Recall@5=0.002146,Recall@10=0.002295,Recall@20=0.002445","MRR@5=0.001409,MRR@10=0.001430,MRR@20=0.001438","Recall@5=0.589292,Recall@10=0.748266,Recall@20=0.891223","MRR@5=0.360931,MRR@10=0.382354,MRR@20=0.392809"
GRU4Rec_bestparams_SM_DEL,ex2vec_baseline_finaltrain_DEL__BS512LR0.0003208416119525183L_DIM64N_EP30_Epoch29_f10.2947,50,50,boosted,0.9,20,5,"Recall@5=0.002096,Recall@10=0.002295,Recall@20=0.002445","MRR@5=0.001399,MRR@10=0.001429,MRR@20=0.001437","Recall@5=0.589292,Recall@10=0.748266,Recall@20=0.891223","MRR@5=0.360931,MRR@10=0.382354,MRR@20=0.392809"
GRU4Rec_bestparams_SM_DEL,ex2vec_baseline_finaltrain_DEL__BS512LR0.0003208416119525183L_DIM64N_EP30_Epoch29_f10.2947,50,50,mult,0.1,20,5,"Recall@5=0.000798,Recall@10=0.001547,Recall@20=0.002445","MRR@5=0.000396,MRR@10=0.000491,MRR@20=0.000551","Recall@5=0.589292,Recall@10=0.748266,Recall@20=0.891223","MRR@5=0.360931,MRR@10=0.382354,MRR@20=0.392809"
