gru4rec_model,ex2vec_model,seq_len,batch_size,combination_mode,alpha,k,n_user_histories,recalls_comb,mrrs_comb,baseline_recalls,baseline_mrrs
GRU4Rec_FULL_finaltrain_bestparams_trial19,ex2vec_baseline_FULL_finaltrain__BS512LR0.00014455048679195258L_DIM64N_EP50_Epoch49_f10.6326,50,4096,direct,0.03,100,3623,"Recall@1=0.011739,Recall@5=0.057623,Recall@10=0.110211,Recall@20=0.207082","MRR@1=0.003389,MRR@5=0.016637,MRR@10=0.031465,MRR@20=0.058232","Recall@1=0.153135,Recall@5=0.381610,Recall@10=0.537678,Recall@20=0.687117","MRR@1=0.153135,MRR@5=0.231922,MRR@10=0.252603,MRR@20=0.263071"
GRU4Rec_FULL_finaltrain_bestparams_trial19,ex2vec_baseline_FULL_finaltrain__BS512LR0.00014455048679195258L_DIM64N_EP50_Epoch49_f10.6326,50,4096,weighted,0.03,100,3623,"Recall@1=0.027575,Recall@5=0.092389,Recall@10=0.157183,Recall@20=0.280990","MRR@1=0.014798,MRR@5=0.038269,MRR@10=0.058925,MRR@20=0.095696","Recall@1=0.153135,Recall@5=0.381610,Recall@10=0.537678,Recall@20=0.687117","MRR@1=0.153135,MRR@5=0.231922,MRR@10=0.252603,MRR@20=0.263071"
GRU4Rec_FULL_finaltrain_bestparams_trial19,ex2vec_baseline_FULL_finaltrain__BS512LR0.00014455048679195258L_DIM64N_EP50_Epoch49_f10.6326,50,4096,boosted,0.03,100,3623,"Recall@1=0.152693,Recall@5=0.380590,Recall@10=0.537210,Recall@20=0.686717","MRR@1=0.151726,MRR@5=0.231419,MRR@10=0.252496,MRR@20=0.263027","Recall@1=0.153135,Recall@5=0.381610,Recall@10=0.537678,Recall@20=0.687117","MRR@1=0.153135,MRR@5=0.231922,MRR@10=0.252603,MRR@20=0.263071"
GRU4Rec_FULL_finaltrain_bestparams_trial19,ex2vec_baseline_FULL_finaltrain__BS512LR0.00014455048679195258L_DIM64N_EP50_Epoch49_f10.6326,50,4096,mult,0.03,100,3623,"Recall@1=0.129112,Recall@5=0.348642,Recall@10=0.516216,Recall@20=0.674560","MRR@1=0.112457,MRR@5=0.204146,MRR@10=0.242159,MRR@20=0.260411","Recall@1=0.153135,Recall@5=0.381610,Recall@10=0.537678,Recall@20=0.687117","MRR@1=0.153135,MRR@5=0.231922,MRR@10=0.252603,MRR@20=0.263071"
GRU4Rec_FULL_finaltrain_bestparams_trial19,ex2vec_baseline_FULL_finaltrain__BS512LR0.00014455048679195258L_DIM64N_EP50_Epoch49_f10.6326,50,4096,direct,0.06,100,3623,"Recall@1=0.011739,Recall@5=0.057623,Recall@10=0.110211,Recall@20=0.207082","MRR@1=0.003389,MRR@5=0.016637,MRR@10=0.031465,MRR@20=0.058232","Recall@1=0.153135,Recall@5=0.381610,Recall@10=0.537678,Recall@20=0.687117","MRR@1=0.153135,MRR@5=0.231922,MRR@10=0.252603,MRR@20=0.263071"
GRU4Rec_FULL_finaltrain_bestparams_trial19,ex2vec_baseline_FULL_finaltrain__BS512LR0.00014455048679195258L_DIM64N_EP50_Epoch49_f10.6326,50,4096,weighted,0.06,100,3623,"Recall@1=0.041596,Recall@5=0.120760,Recall@10=0.189654,Recall@20=0.311850","MRR@1=0.025393,MRR@5=0.055075,MRR@10=0.076769,MRR@20=0.112363","Recall@1=0.153135,Recall@5=0.381610,Recall@10=0.537678,Recall@20=0.687117","MRR@1=0.153135,MRR@5=0.231922,MRR@10=0.252603,MRR@20=0.263071"
GRU4Rec_FULL_finaltrain_bestparams_trial19,ex2vec_baseline_FULL_finaltrain__BS512LR0.00014455048679195258L_DIM64N_EP50_Epoch49_f10.6326,50,4096,boosted,0.06,100,3623,"Recall@1=0.152096,Recall@5=0.378970,Recall@10=0.536588,Recall@20=0.686024","MRR@1=0.150089,MRR@5=0.230508,MRR@10=0.252333,MRR@20=0.262944","Recall@1=0.153135,Recall@5=0.381610,Recall@10=0.537678,Recall@20=0.687117","MRR@1=0.153135,MRR@5=0.231922,MRR@10=0.252603,MRR@20=0.263071"
GRU4Rec_FULL_finaltrain_bestparams_trial19,ex2vec_baseline_FULL_finaltrain__BS512LR0.00014455048679195258L_DIM64N_EP50_Epoch49_f10.6326,50,4096,mult,0.06,100,3623,"Recall@1=0.129112,Recall@5=0.348642,Recall@10=0.516216,Recall@20=0.674560","MRR@1=0.112457,MRR@5=0.204146,MRR@10=0.242159,MRR@20=0.260411","Recall@1=0.153135,Recall@5=0.381610,Recall@10=0.537678,Recall@20=0.687117","MRR@1=0.153135,MRR@5=0.231922,MRR@10=0.252603,MRR@20=0.263071"
GRU4Rec_FULL_finaltrain_bestparams_trial19,ex2vec_baseline_FULL_finaltrain__BS512LR0.00014455048679195258L_DIM64N_EP50_Epoch49_f10.6326,50,4096,direct,0.09,100,3623,"Recall@1=0.011739,Recall@5=0.057623,Recall@10=0.110211,Recall@20=0.207082","MRR@1=0.003389,MRR@5=0.016637,MRR@10=0.031465,MRR@20=0.058232","Recall@1=0.153135,Recall@5=0.381610,Recall@10=0.537678,Recall@20=0.687117","MRR@1=0.153135,MRR@5=0.231922,MRR@10=0.252603,MRR@20=0.263071"
GRU4Rec_FULL_finaltrain_bestparams_trial19,ex2vec_baseline_FULL_finaltrain__BS512LR0.00014455048679195258L_DIM64N_EP50_Epoch49_f10.6326,50,4096,weighted,0.09,100,3623,"Recall@1=0.052515,Recall@5=0.146636,Recall@10=0.218565,Recall@20=0.339715","MRR@1=0.034474,MRR@5=0.070620,MRR@10=0.093121,MRR@20=0.126847","Recall@1=0.153135,Recall@5=0.381610,Recall@10=0.537678,Recall@20=0.687117","MRR@1=0.153135,MRR@5=0.231922,MRR@10=0.252603,MRR@20=0.263071"
